user_id,name,gender,birth_date,email,city,registration_date
43,Sanzhar,Male,1987-07-18,sanzhar48@gmail.com,Шымкент,2025-06-08
44,Dana,Female,2002-11-20,dana@yahoo.com,Шымкент,2025-06-15
45,Nursultan,Male,1993-06-29,nursultan61@mail.ru,Астана,2025-05-12
46,Aruzat,Female,1993-01-15,aruzat@mail.ru,Шымкент,2025-05-17
47,Nurzhan,Female,1983-05-30,nurzhan37@yahoo.com,Алматы,2025-05-18
48,Zhansaya,Female,2001-06-05,zhansaya@mail.ru,Тараз,2025-06-04
49,Nurzhan,Male,1977-08-19,nurzhan@gmail.com,Павлодар,2025-06-08
50,Dias,Female,2004-02-21,dias@gmail.com,Атырау,2025-05-23
51,Bauyrzhan,Female,2002-11-24,bauyrzhan47@mail.ru,Астана,2025-06-11
52,Yerzhan,Female,2004-03-07,yerzhan@yahoo.com,Усть-Каменогорск,2025-06-14
53,Zarina,Female,2002-07-31,zarina23@mail.ru,Усть-Каменогорск,2025-06-07
54,Temirlan,Male,2000-09-18,temirlan@gmail.com,Шымкент,2025-05-25
55,Bauyrzhan,Male,1984-12-01,bauyrzhan64@mail.ru,Шымкент,2025-05-15
56,Diana,Female,1986-09-22,diana7@mail.ru,Шымкент,2025-06-11
57,Dana,Female,1994-07-07,dana40@mail.ru,Астана,2025-05-07
58,Dmitry,Female,1998-03-13,dmitry@yahoo.com,Астана,2025-05-17
59,Alua,Male,1991-08-09,alua@mail.ru,Астана,2025-06-06
60,Nurzhan,Female,2007-01-24,nurzhan29@mail.ru,Павлодар,2025-06-13
61,Nurzhan,Male,2002-06-16,nurzhan98@mail.ru,Караганда,2025-06-06
62,Dana,Female,2004-01-19,dana87@mail.ru,Усть-Каменогорск,2025-06-09
63,Yerzhan,Male,1994-06-10,yerzhan@mail.ru,Усть-Каменогорск,2025-06-06
64,Gulnaz,Male,1997-01-30,gulnaz@mail.ru,Алматы,2025-06-08
65,Bauyrzhan,Female,2004-02-29,bauyrzhan24@yahoo.com,Алматы,2025-05-24
66,Dias,Male,1967-02-19,dias@mail.ru,Караганда,2025-06-11
67,Diana,Male,2004-06-15,diana91@gmail.com,Шымкент,2025-05-07
68,Diana,Male,1974-08-06,diana23@yahoo.com,Атырау,2025-06-19
69,Aruzat,Female,1987-06-10,aruzat68@gmail.com,Караганда,2025-06-19
70,Dana,Male,2001-05-17,dana54@yahoo.com,Шымкент,2025-05-03
71,Yerzhan,Female,1994-01-22,yerzhan57@mail.ru,Алматы,2025-05-05
72,Zhansaya,Male,1994-10-12,zhansaya@gmail.com,Астана,2025-06-07
73,Tatiana,Male,1980-10-11,tatiana@yahoo.com,Астана,2025-05-21
74,Aruzhan,Male,1973-03-19,aruzhan@yahoo.com,Астана,2025-06-12
75,Maria,Male,1974-04-07,maria@yahoo.com,Жезказган,2025-05-29
76,Aigerim,Female,1999-08-05,aigerim@yahoo.com,Астана,2025-05-14
77,Gulnaz,Male,2000-05-11,gulnaz96@mail.ru,Алматы,2025-06-17
78,Nursultan,Male,2005-10-11,nursultan@yahoo.com,Алматы,2025-06-07
79,Yerzhan,Female,2007-05-25,yerzhan98@yahoo.com,Алматы,2025-06-07
80,Zarina,Female,1999-07-11,zarina@gmail.com,Караганда,2025-05-27
81,Aidana,Male,1977-06-22,aidana@gmail.com,Шымкент,2025-06-16
82,Temirlan,Male,1986-05-06,temirlan15@yahoo.com,Усть-Каменогорск,2025-06-16
83,Alikhan,Male,1976-10-09,alikhan@yahoo.com,Усть-Каменогорск,2025-05-01
84,Aidana,Female,1987-01-26,aidana1@mail.ru,Шымкент,2025-06-12
85,Temirlan,Male,1990-05-31,temirlan37@mail.ru,Алматы,2025-06-16
86,Alua,Male,1987-05-16,alua20@gmail.com,Усть-Каменогорск,2025-06-15
87,Madi,Male,1977-01-21,madi33@mail.ru,Павлодар,2025-06-12
88,Alikhan,Female,2003-05-05,alikhan41@mail.ru,Алматы,2025-06-14
89,Diana,Female,1971-02-06,diana96@yahoo.com,Астана,2025-05-02
90,Yerzhan,Male,1980-11-20,yerzhan17@gmail.com,Шымкент,2025-05-05
91,Miras,Male,2001-02-04,miras@gmail.com,Астана,2025-05-28
92,Zarina,Female,1969-07-02,zarina7@yahoo.com,Караганда,2025-05-24
93,Alua,Male,2004-09-01,alua75@gmail.com,Алматы,2025-06-12
94,Zarina,Female,1971-03-09,zarina16@yahoo.com,Павлодар,2025-06-10
95,Miras,Male,1984-06-25,miras28@yahoo.com,Актобе,2025-05-09
96,Dias,Female,1977-01-07,dias40@mail.ru,Павлодар,2025-06-04
97,Sanzhar,Male,1992-07-18,sanzhar83@mail.ru,Алматы,2025-05-22
98,Miras,Male,2000-05-03,miras@mail.ru,Павлодар,2025-05-24
99,Dana,Female,2006-04-21,dana@gmail.com,Шымкент,2025-05-27
100,Andrei,Female,1990-06-17,andrei@gmail.com,Актобе,2025-05-12
